States/UTs,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2014,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2015,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2016,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2014,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2015,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2014,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2015,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2016,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2017,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2014","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2015","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2014","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2015","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2016"
Andhra Pradesh,29931,29439,30051,27475,6.1,5.9,6.1,5.8,34.4,33.6,34,30.9,42.7,37.3,34.4,1680.6,1644.4,1723.4
Arunachal Pradesh,308,359,391,316,0.1,0.1,0.1,0.1,24,27.6,29.8,23.8,20.4,23.7,14.8,125.9,141.6,127.4
Assam,6499,7068,6127,6163,1.3,1.4,1.2,1.3,20.5,22,18.9,18.8,29.3,28.2,21.7,207.2,216.5,185.9
Bihar,6640,6835,5651,6014,1.3,1.4,1.1,1.3,6.5,6.7,5.4,5.7,15.9,14.3,10.3,316.6,331.8,273.7
Chhattisgarh,13157,13426,12955,12550,2.7,2.7,2.6,2.7,52.1,52.5,50.1,47.9,34,31.1,26.9,1391.1,1376.5,1352.2
Goa,1879,2055,2026,1922,0.4,0.4,0.4,0.4,98.1,105.2,102.5,95,18.6,19,17.5,1416.3,1405.2,1261.3
Gujarat,22493,21448,19949,16802,4.6,4.3,4,3.6,36.7,34.5,31.8,26.4,13.2,11.5,9.8,1256.2,1176.6,1113.6
Haryana,8944,10794,10531,10339,1.8,2.2,2.1,2.2,33.5,39.9,38.3,37.1,12.4,13.6,12.2,2095.4,2332,2172.1
Himachal Pradesh,5576,5108,5764,5452,1.1,1,1.2,1.2,79.9,72.6,81.2,76.2,57.2,47.4,49,1025.2,918.8,1033.7
Jammu & Kashmir,8043,8142,7692,7419,1.6,1.6,1.6,1.6,66.2,66.3,61.9,59.1,71,65.4,56.3,2056.7,2082.6,1547.2
Jharkhand,4356,4038,3793,3918,0.9,0.8,0.8,0.8,13.3,12.2,11.3,11.5,25.3,19.5,15.3,1055.8,945.6,567.9
Karnataka,56831,56971,54556,52961,11.5,11.4,11,11.2,92.8,92.2,87.5,84.2,42.6,38.5,33.5,1814.6,1770.3,1579
Kerala,41096,43735,44108,42671,8.3,8.7,8.9,9.1,116.6,123.3,123.6,119,46.8,45.3,43.4,2124.3,2244.5,2196.5
Madhya Pradesh,55335,55815,57873,57532,11.2,11.2,11.7,12.2,73.2,72.7,74.3,72.9,56.9,50.1,51.9,1976.3,1931.8,1996
Maharashtra,40455,39606,35884,32128,8.2,7.9,7.3,6.8,34.5,33.4,29.9,26.4,17.3,15.5,12.9,664.6,651.3,585
Manipur,1295,1201,955,1027,0.3,0.2,0.2,0.2,51.1,46.9,36.8,39.2,32.8,39.1,31.2,597.9,495.3,385.5
Meghalaya,311,319,354,354,0.1,0.1,0.1,0.1,11.5,11.6,12.8,12.6,12.5,11.9,6.3,234.5,238.6,162.9
Mizoram,234,103,68,55,0,0,0,0,22.5,9.8,6.4,5.1,17.1,6.8,4,238.7,104.8,83.9
Nagaland,230,74,120,375,0,0,0,0.1,9.9,3.1,5,15.6,7.2,2.2,3.2,62.8,19.9,33.2
Odisha,11087,11825,11312,11198,2.2,2.4,2.3,2.4,26.5,28.1,26.6,26.2,23.6,22.7,19.4,391.5,416.8,392.7
Punjab,4127,4414,4351,4218,0.8,0.9,0.9,0.9,14.4,15.3,14.9,14.4,6.6,7,4.8,396.2,418.9,401.5
Rajasthan,27453,26153,24103,22071,5.6,5.2,4.9,4.7,38.7,36.3,33,29.9,24.7,21.1,17.7,1138,1053.9,947.9
Sikkim,352,337,263,479,0.1,0.1,0.1,0.1,55.6,52.7,40.6,73.4,88.9,78,53.7,539.5,452.3,319.1
Tamil Nadu,77725,79746,82163,74571,15.8,15.9,16.6,15.8,113.2,115.5,118.4,106.9,37.3,35.4,33.9,3057.6,3054.2,3147.6
Telangana,21636,22948,24217,23990,4.4,4.6,4.9,5.1,NA,NA,NA,NA,30.6,29.3,27.8,2346.3,2289.1,1959.7
Tripura,1225,1028,853,718,0.2,0.2,0.2,0.2,32.7,27.2,22.3,18.6,47.8,36.4,26.7,292.7,275,216.7
Uttarakhand,1531,1657,1735,1631,0.3,0.3,0.4,0.3,14.8,15.8,16.3,15.2,9.3,9.1,9.2,253.4,263.2,284.3
Uttar Pradesh,22337,23205,25096,27494,4.5,4.6,5.1,5.8,10.6,10.8,11.5,12.4,11.7,10.7,10.5,562.3,558.6,594.1
West Bengal,12018,11794,11859,10091,2.4,2.4,2.4,2.1,13.1,12.7,12.7,10.7,17.8,15.9,18.3,383,398.4,374.4
Andaman & Nicobar Islands,283,331,323,263,0.1,0.1,0.1,0.1,53.1,61,58.6,46.7,30.2,32.4,29.1,2147.2,2448.2,2163.7
Chandigarh,335,331,329,302,0.1,0.1,0.1,0.1,20.3,19.3,18.5,16.2,5.3,4.9,3.9,1163.5,1127.8,1166.3
Dadra & Nagar Haveli,96,97,130,60,0,0,0,0,23.9,23.4,30.8,13.7,9.3,8.7,12.3,1141.5,1121.4,1146.7
Daman & Diu,49,64,102,70,0,0,0,0,16.1,20.2,30.9,20.3,5.1,6.4,9.7,966.5,1226.1,2058.1
Delhi,8283,8258,7154,6604,1.7,1.7,1.4,1.4,41.2,39.9,33.6,30.2,10,9.3,7.4,2588.8,2575.2,4059
Lakshadweep,1,3,0,1,0,0,0,0,1.3,3.8,0,1.2,0.8,2.1,0,48.1,140.2,0
Puducherry,1323,1552,1786,1741,0.3,0.3,0.4,0.4,84.1,95.4,107,100.5,17.6,19.3,20.7,4380.9,5051.9,5627.7
Total,493474,500279,494624,470975,100,100,100,100,39.8,39.9,39,36.7,25.9,23.8,21.5,1096,1094.2,1051.7
